latitude,longitude,height,distance,sum_distance,slope,date,utm_x,utm_y,velocidad_gps,consumo_total,consumo_inst,ds,velocidad
-3.483311,-79.170563,2386.9,33.0801997320251,866.0262653760259,0.07859686522638606,12:09:21,703231.4680332611,9614787.531608311,61.86,3092.13,13.8,2,16.54009986601255
-3.48372,-79.17041,2386.9,48.33165508285241,914.3579204588783,0.0,12:09:24,703248.3827293833,9614742.267103398,57.43,3092.14,13.75,3,16.110551694284137
-3.483986,-79.170311,2386.9,31.41705308933567,945.774973548214,0.0,12:09:26,703259.3272297451,9614712.828677904,55.93,3092.15,13.15,2,15.708526544667835
-3.484245,-79.170219,2386.9,30.422918720961498,976.1978922691756,0.0,12:09:28,703269.4953322633,9614684.165891642,54.3,3092.16,12.2,2,15.211459360480749
-3.484492,-79.170128,2386.9,29.13770738350295,1005.3355996526785,0.0,12:09:30,703279.554875223,9614656.830403117,51.86,3092.17,11.5,2,14.568853691751475
-3.484727,-79.170036,2386.9,27.937463413446757,1033.2730630661254,0.0,12:09:32,703289.7281140898,9614630.821781015,49.73,3092.17,9.05,2,13.968731706723378
-3.484961,-79.169952,2386.9,27.520350933768036,1060.7934139998933,0.0,12:09:34,703299.0125421355,9614604.925472314,50.15,3092.18,14.75,2,13.760175466884018
-3.485197,-79.169861,2386.9,28.000066602715698,1088.793480602609,0.0,12:09:36,703309.074423284,9614578.806468194,50.41,3092.19,13.3,2,14.000033301357849
-3.485434,-79.169777,2386.9,27.832669005381888,1116.6261496079908,0.0,12:09:38,703318.3581914913,9614552.578380989,50.19,3092.19,12.95,2,13.916334502690944
-3.485669,-79.169685,2386.9,27.937465628944732,1144.5636152369354,0.0,12:09:40,703328.5313988394,9614526.569744179,49.67,3092.2,12.1,2,13.968732814472366
-3.485901,-79.169609,2386.9,27.02136460585276,1171.5849798427882,0.0,12:09:42,703336.9272090218,9614500.896330124,49.12,3092.21,12.45,2,13.51068230292638
-3.48613,-79.169518,2386.9,27.279658609526862,1198.8646384523151,0.0,12:09:44,703346.9905632667,9614475.551445393,48.8,3092.21,12.0,2,13.639829304763431
-3.48636,-79.169441,2386.9,26.84658930222763,1225.7112277545427,0.0,12:09:46,703355.4979159152,9614450.098990181,48.56,3092.22,13.1,2,13.423294651113816
-3.486589,-79.16935,2386.9,27.27965957196163,1252.9908873265044,0.0,12:09:48,703365.5612551998,9614424.754098475,48.49,3092.23,12.45,2,13.639829785980815
-3.486817,-79.169266,2420.8,26.897120640964165,1279.8880079674686,1.2603579562479479,12:09:50,703374.8469126304,9614399.521305874,48.49,3092.24,12.25,2,13.448560320482082
-3.487043,-79.169182,2423.2,26.689808069723558,1306.5778160371922,0.08992196548322703,12:09:52,703384.1329928129,9614374.509691102,48.49,3092.24,12.25,2,13.344904034861779
