date,height,old_height,utm_x,utm_y,distance,slope,sum_distance,velocidad,ds,velocidad_gps,consumo_total,consumo_inst,latitud,longitud,velocidad_gps-ms,next_vel,velocidad_ms,next_vel_ms,aceleracion_gps,aceleracion_ms,fd,Rx,Rg,Ri,fx,potencia_rueda,potencia_motor,caudal_inst
12:08:55,2350.3,2350.3,703271.3726213071,9615250.830060031,37.377786408496014,0.0,387.7083359201266,18.688893204248007,2,67.75,3092.02,13.75,-3.479120995087257,-79.17021200000814,18.819444444444443,19.17222222222222,18.688893204248007,19.0999706655814,-0.17638888888888893,-0.2055387306666958,266.5985192816818,249.70400000000004,0.0,-654.6408571734262,-138.33833789174435,-2585.3904229119853,-9575.520084859205,-0.09499523893709529
12:08:57,2350.3,2350.3,703261.1885894662,9615214.023034694,38.199941331162805,0.0,425.9082772512894,19.0999706655814,2,69.02,3092.03,14.45,-3.47945399508874,-79.17030300000813,19.17222222222222,19.302777777777777,19.0999706655814,19.327969273574357,-0.06527777777777821,-0.11399930399647928,278.45560799266394,249.70400000000004,0.0,-363.0877832287865,165.07182476387743,3152.867010704052,11677.285224829822,0.11584608357966093
12:08:59,2350.3,2350.3,703250.8925729604,9615176.773865435,38.65593854714871,0.0,464.5642157984381,19.327969273574357,2,69.49,3092.04,16.45,-3.479790995090221,-79.17039500000811,19.302777777777777,19.51388888888889,19.327969273574357,19.52689145073306,-0.10555555555555607,-0.09946108857935165,285.143201494402,249.70400000000004,0.0,-316.78356712523504,218.063634369167,4214.7272247712135,15610.100832485976,0.15486211143339262
12:09:01,2350.3,2350.3,703240.7068272837,9615139.082121404,39.05378290146612,0.0,503.6179986999042,19.52689145073306,2,70.25,3092.05,16.0,-3.480131995091699,-79.17048600000811,19.51388888888889,19.369444444444444,19.52689145073306,19.609314447097816,0.07222222222222285,-0.04121149818237768,291.04275478913553,249.70400000000004,0.0,-131.25862171087292,409.48813307826265,7996.030324982568,29614.927129565065,0.29379888025362166
12:09:03,2350.3,2350.3,703229.5211474387,9615101.50290978,39.21862889419563,0.0,542.8366275940998,19.609314447097816,2,69.73,3092.06,16.05,-3.4804719950933056,-79.1705860000081,19.369444444444444,19.15277777777778,19.609314447097816,19.161519644736583,0.1083333333333325,0.22389740118061674,293.50492281489403,249.70400000000004,0.0,713.1132227602643,1256.3221455751584,24635.61599943588,91243.02222013287,0.9051887125013182
12:09:05,2350.3,2350.3,703220.114369267,9615064.362614898,38.323039289473165,0.0,581.159666883573,19.161519644736583,2,68.95,3092.07,16.15,-3.4808079950946764,-79.17067000000813,19.15277777777778,18.433333333333334,19.161519644736583,18.531248776596744,0.3597222222222225,0.3151354340699193,280.2531262268518,249.70400000000004,0.0,1003.7063575126929,1533.6634837395447,29387.32297209043,108841.93693366826,1.0797811203736931
12:09:09,2341.121221257015,2350.3,703186.7728327462,9615025.889475232,37.06249755319349,0.0,619.3926945341938,18.531248776596744,2,66.36,3092.09,15.55,-3.481156466833262,-79.17096935680844,18.433333333333334,18.144444444444442,18.531248776596744,18.321080556161675,0.1444444444444457,0.10508411021753439,262.1198683160713,249.70400000000004,0.0,334.692891042847,846.5167593589183,15687.012661238596,58100.046893476276,0.5763893541019471
12:09:11,2345.4881772731583,2350.3,703193.2576520824,9614994.67182075,36.64216111232335,0.0,651.8295306919193,18.321080556161675,2,65.32,3092.09,15.6,-3.481438633722798,-79.17091045756764,18.144444444444442,17.8,18.321080556161675,17.920686725885076,0.17222222222222072,0.2001969151382994,256.2080298510973,249.70400000000004,0.0,637.6271747154836,1143.539204566581,20950.873885993376,77595.82920738288,0.7697998929303858
12:09:13,2349.855133289302,2350.3,703199.7424714187,9614963.454166269,35.84137345177015,0.0,684.266366849645,17.920686725885076,2,64.08,3092.1,16.1,-3.481720800588467,-79.17085155824961,17.8,17.444444444444443,17.920686725885076,17.664271731098353,0.17777777777777892,0.1282074973933618,245.13191851890346,249.70400000000004,0.0,408.3408791978573,903.1767977167608,16185.548449970147,59946.47574063017,0.5947071006014898
12:09:15,2354.222089305445,2350.3,703206.2272907549,9614932.236511786,35.328543462196706,0.0,716.7032030073706,17.664271731098353,2,62.8,3092.11,15.4,-3.482002967430232,-79.17079265885434,17.444444444444443,17.183333333333334,17.664271731098353,17.180233484650316,0.13055555555555465,0.24201912322401853,238.16725001797812,249.70400000000004,0.0,770.830907468499,1258.702157486477,22234.056938360885,82348.35903096624,0.8169480062595857
12:09:17,2358.589045321589,2350.3,703212.7121100911,9614901.018857302,34.36046696930063,0.0,749.1400391650963,17.180233484650316,2,61.86,3092.12,14.95,-3.482285134248127,-79.17073375938182,17.183333333333334,0.011111111111111112,17.180233484650316,0.4492486177087028,8.58611111111111,8.365492433470806,225.29351548724708,249.70400000000004,0.0,26644.093400604517,27119.090916091765,465912.31382991595,1725601.1623330219,17.119059150129186
13:48:18,2362.956001337732,2059.2,703219.1969294273,9614869.80120282,0.8984972354174057,0.0,781.5768753228218,0.4492486177087028,2,0.04,3102.46,0.8,-3.482567301042117,-79.17067485983205,0.011111111111111112,17.183333333333334,0.4492486177087028,17.15916428051139,-8.58611111111111,-8.354957831401343,0.1540508387970662,249.70400000000004,0.0,-26610.540693013278,-26360.68264217448,-11842.50023885468,-43861.111995758074,-0.43513007932299674
