height,SPEED,utm_x,utm_y,distance,slope,sum_distance,velocidad
2460.573053531933,,86600826.46348646,24471943.72275286,17.045441247856658,-0.00031722724323965395,7158662.312031855,17.045441247856658
2460.567646253596,,86600823.84193558,24471960.56539334,17.04544125382939,-0.00031722724315517585,7158679.357473109,17.04544125382939
2460.562238975259,,86600821.22038467,24471977.40803382,17.045441247856658,-0.0003172272432663325,7158696.402914356,17.045441247856658
2460.5568316969216,,86600818.59883378,24471994.2506743,17.045441251537625,-0.00031722724319782717,7158713.448355608,17.045441251537625
2460.5514244185842,,86600815.9772829,24472011.09331478,17.045441251537625,-0.00031722724319782717,7158730.493796859,17.045441251537625
2460.546017140247,,86600813.35573201,24472027.935955264,17.045441247856658,-0.0003172272432663325,7158747.539238106,17.045441247856658
2460.5406098619096,,86600810.73418112,24472044.77859574,17.04544125382939,-0.0003172272431284973,7158764.5846793605,17.04544125382939
2460.5352025835728,,86600808.11263022,24472061.621236224,17.045441247856658,-0.0003172272432663325,7158781.630120608,17.045441247856658
2460.5297953052354,,86600805.49107933,24472078.463876702,17.045441251537625,-0.00031722724319782717,7158798.675561859,17.045441251537625
2460.524388026898,,86600802.86952844,24472095.306517184,17.045441251537625,-0.00031722724319782717,7158815.7210031105,17.045441251537625
2460.518980748561,,86600800.24797755,24472112.149157666,17.045441247856658,-0.00031722724323965395,7158832.766444358,17.045441247856658
2460.513573470224,,86600797.62642667,24472128.991798144,17.04544125382939,-0.00031722724315517585,7158849.811885612,17.04544125382939
2460.5081661918866,,86600795.00487576,24472145.834438626,17.045441247856658,-0.0003172272432663325,7158866.85732686,17.045441247856658
2460.5027589135493,,86600792.38332488,24472162.677079104,17.045441251537625,-0.00031722724317114864,7158883.902768111,17.045441251537625
2460.4973516352125,,86600789.76177399,24472179.519719586,17.045441251537625,-0.00031722724319782717,7158900.948209362,17.045441251537625
2460.491944356875,,86600787.1402231,24472196.362360068,17.045441247856658,-0.0003172272432663325,7158917.99365061,17.045441247856658
2460.486537078538,,86600784.51867221,24472213.205000546,17.04544125382939,-0.00031722724315517585,7158935.039091864,17.04544125382939
2460.4811298002005,,86600781.89712131,24472230.047641028,17.045441247856658,-0.0003172272432663325,7158952.084533111,17.045441247856658
2460.475722521863,,86600779.27557042,24472246.890281506,17.045441251537625,-0.00031722724319782717,7158969.129974362,17.045441251537625
2460.470315243526,,86600776.65401953,24472263.732921988,17.045441251537625,-0.00031722724317114864,7158986.175415614,17.045441251537625
2460.464907965189,,86600774.03246865,24472280.57556247,17.045441251537625,-0.00031722724319782717,7159003.220856865,17.045441251537625
2460.4595006868517,,86600771.41091776,24472297.41820295,17.045441250148425,-0.0003172272432236811,7159020.266298115,17.045441250148425
2460.4540934085144,,86600768.78936686,24472314.26084343,17.045441247856658,-0.0003172272432663325,7159037.311739363,17.045441247856658
2460.448686130177,,86600766.16781597,24472331.103483908,17.045441251537625,-0.00031722724319782717,7159054.357180614,17.045441251537625
2460.4432788518398,,86600763.54626508,24472347.94612439,17.045441251537625,-0.00031722724319782717,7159071.402621865,17.045441251537625
2460.4378715735024,,86600760.9247142,24472364.78876487,17.045441250148425,-0.0003172272431970026,7159088.448063116,17.045441250148425
2460.4324642951656,,86600758.30316329,24472381.63140535,17.045441251537625,-0.00031722724319782717,7159105.493504367,17.045441251537625
2460.4270570168283,,86600755.6816124,24472398.47404583,17.045441251537625,-0.00031722724319782717,7159122.538945618,17.045441251537625
2460.421649738491,,86600753.06006151,24472415.316686314,17.045441247856658,-0.0003172272432663325,7159139.584386866,17.045441247856658
2460.4162424601536,,86600750.43851063,24472432.15932679,17.045441251537625,-0.00031722724317114864,7159156.629828117,17.045441251537625
2460.4108351818168,,86600747.81695974,24472449.001967274,17.04544125382939,-0.00031722724315517585,7159173.675269371,17.04544125382939
2460.4054279034794,,86600745.19540884,24472465.844607756,17.045441247856658,-0.0003172272432663325,7159190.720710618,17.045441247856658
2460.400020625142,,86600742.57385795,24472482.687248234,17.045441251537625,-0.00031722724319782717,7159207.76615187,17.045441251537625
2460.394613346805,,86600739.95230706,24472499.529888716,17.045441247856658,-0.00031722724323965395,7159224.811593117,17.045441247856658
2460.389206068468,,86600737.33075617,24472516.372529194,17.045441251537625,-0.00031722724319782717,7159241.857034368,17.045441251537625
2460.3837987901306,,86600734.70920528,24472533.215169676,17.04544125382939,-0.00031722724315517585,7159258.9024756225,17.04544125382939
2460.3783915117933,,86600732.08765438,24472550.057810158,17.045441247856658,-0.0003172272432663325,7159275.94791687,17.045441247856658
2460.372984233456,,86600729.4661035,24472566.900450636,17.045441251537625,-0.00031722724319782717,7159292.993358121,17.045441251537625
2460.3675769551187,,86600726.8445526,24472583.743091118,17.045441247856658,-0.0003172272432663325,7159310.038799369,17.045441247856658
2460.3621696767814,,86600724.22300172,24472600.585731596,17.045441251537625,-0.00031722724317114864,7159327.08424062,17.045441251537625
2460.3567623984445,,86600721.60145083,24472617.428372078,17.04544125382939,-0.00031722724315517585,7159344.129681874,17.04544125382939
2460.351355120107,,86600718.97989993,24472634.27101256,17.045441247856658,-0.0003172272432663325,7159361.175123122,17.045441247856658
2460.34594784177,,86600716.35834904,24472651.113653038,17.045441251537625,-0.00031722724319782717,7159378.220564373,17.045441251537625
2460.3405405634326,,86600713.73679815,24472667.95629352,17.045441247856658,-0.0003172272432663325,7159395.26600562,17.045441247856658
2460.3351332850953,,86600711.11524726,24472684.798933998,17.045441251537625,-0.00031722724319782717,7159412.311446872,17.045441251537625
2460.329726006758,,86600708.49369638,24472701.64157448,17.04544125382939,-0.0003172272431284973,7159429.356888126,17.04544125382939
2460.324318728421,,86600705.87214547,24472718.48421496,17.045441247856658,-0.0003172272432663325,7159446.402329373,17.045441247856658
2460.3189114500838,,86600703.25059459,24472735.32685544,17.045441251537625,-0.00031722724319782717,7159463.447770624,17.045441251537625
2460.3135041717464,,86600700.6290437,24472752.16949592,17.045441247856658,-0.00031722724323965395,7159480.493211872,17.045441247856658
2460.3080968934096,,86600698.00749281,24472769.0121364,17.045441251537625,-0.00031722724319782717,7159497.538653123,17.045441251537625
2460.3026896150723,,86600695.38594192,24472785.85477688,17.04544125382939,-0.00031722724315517585,7159514.584094377,17.04544125382939
2460.297282336735,,86600692.76439102,24472802.697417364,17.045441251537625,-0.00031722724319782717,7159531.6295356285,17.045441251537625
