latitude,longitude,height,distance,sum_distance,slope,date,utm_x,utm_y,velocidad_gps,consumo_total,consumo_inst,timestamp,old_height,ds,velocidad
-3.4766679950730057,-79.16932700000814,2321.3,32.15096261660028,32.15096261660028,0.0,2017/08/15 12:08:38,703370.2468111756,9615521.91848191,58.08,3091.95,13.6,1502816918.0,2321.3,0.0,inf
-3.4768979950758077,-79.16950200000814,2321.3,32.02855143428972,64.17951405088999,0.0,2017/08/15 12:08:40,703350.7500755417,9615496.520353327,58.28,3091.96,13.25,1502816920.0,2321.3,2.0,16.01427571714486
-3.4771529950781224,-79.16964700000815,2321.3,32.48960010303901,96.669114153929,0.0,2017/08/15 12:08:42,703334.5818336868,9615468.351001574,58.6,3091.97,13.65,1502816922.0,2321.3,2.0,16.244800051519505
-3.4774299950798553,-79.16975400000814,2321.3,32.87044408280436,129.53955823673337,0.0,2017/08/15 12:08:44,703322.6317500854,9615437.740475815,59.17,3091.98,13.75,1502816924.0,2321.3,2.0,16.43522204140218
-3.4777179950810853,-79.16983000000813,2321.3,32.96089156027805,162.5004497970114,0.0,2017/08/15 12:08:46,703314.1242814892,9615405.906779317,59.91,3091.99,13.7,1502816926.0,2321.3,2.0,16.480445780139025
-3.4780159950824396,-79.16991400000813,2349.1,34.26256286817739,196.7630126651888,0.8113812182398065,2017/08/15 12:08:48,703304.7256453998,9615372.968902903,59.91,3092.0,13.9,1502816928.0,2349.1,2.0,17.131281434088695
-3.478321995083682,-79.16999100000812,2350.3,34.9158287841171,231.6788414493059,0.03436836649130729,2017/08/15 12:08:50,703296.103191022,9615339.144796653,59.91,3092.0,13.85,1502816930.0,2350.3,2.0,17.45791439205855
-3.4787959950857723,-79.17012000000813,2350.3,54.35485424607709,286.033695695383,0.0,2017/08/15 12:08:53,703281.6660668906,9615286.752692001,66.1,3092.01,14.1,1502816933.0,2350.3,3.0,18.118284748692364
-3.479120995087257,-79.17021200000814,2350.3,37.37778656609934,323.4114822614824,0.0,2017/08/15 12:08:55,703271.3726214585,9615250.830603337,67.75,3092.02,13.75,1502816935.0,2350.3,2.0,18.68889328304967
-3.4794693034282234,-79.17080530899638,2339.86624218072,76.37072119516317,399.78220345664556,-0.1366198676141499,2017/08/15 12:08:59,703205.3648073643,9615212.438830521,69.49,3092.04,16.45,1502816935.8451276,2350.3,0.8451275825500488,90.36590778959751
-3.479754581407157,-79.17077167908947,2342.3013413508015,31.779659742098424,431.561863198744,0.07662445695905032,2017/08/15 12:09:01,703209.0408712025,9615180.882565932,70.25,3092.05,16.0,1502816937.78704,2350.3,1.9419124126434326,16.36513548973009
-3.4800398593725177,-79.1707380491179,2344.736440520883,31.779659741492253,463.34152294023625,0.07662445696051187,2017/08/15 12:09:03,703212.7169350354,9615149.326301344,69.73,3092.06,16.05,1502816939.7289524,2350.3,1.9419124126434326,16.365135489417938
-3.4803251373243067,-79.17070441908163,2347.171539690965,31.779659742125364,495.1211826823616,0.07662445695898536,2017/08/15 12:09:05,703216.3929988738,9615117.770036755,68.95,3092.07,16.15,1502816941.6708648,2350.3,1.9419124126434326,16.365135489743963
-3.480610415262506,-79.17067078898067,2349.6066388610466,31.77965974023482,526.9008424225965,0.07662445696354368,2017/08/15 12:09:07,703220.0690627119,9615086.213772168,67.62,3092.08,15.5,1502816943.6127772,2350.3,1.9419124126434326,16.365135488770417
-3.4808956931871475,-79.17063715881503,2352.0417380311283,31.779659740167467,558.680502162764,0.07662445696370608,2017/08/15 12:09:09,703223.7451265494,9615054.657507582,66.36,3092.09,15.55,1502816945.5546896,2350.3,1.9419124126434326,16.36513548873573
-3.4811809710982162,-79.1706035285847,2354.47683720121,31.779659741909835,590.4601619046739,0.07662445695950502,2017/08/15 12:09:11,703227.4211903859,9615023.101242993,65.32,3092.09,15.6,1502816947.496602,2350.3,1.9419124126434326,16.365135489632976
-3.4814662489957113,-79.17056989828968,2356.911936371291,31.779659741775134,622.2398216464491,0.0766244569598155,2017/08/15 12:09:13,703231.0972542213,9614991.544978404,64.08,3092.1,16.1,1502816949.4385145,2350.3,1.9419124126434326,16.36513548956361
-3.481751526879613,-79.17053626792999,2359.347035541373,31.779659740086643,654.0194813865357,0.07662445696390095,2017/08/15 12:09:15,703234.7733180581,9614959.988713818,62.8,3092.11,15.4,1502816951.380427,2350.3,1.9419124126434326,16.36513548869411
-3.4820368047499572,-79.17050263750558,2361.7821347114545,31.779659740194408,685.7991411267302,0.07662445696364112,2017/08/15 12:09:17,703238.4493818958,9614928.43244923,61.86,3092.12,14.95,1502816953.3223393,2350.3,1.9419124126434326,16.365135488749605
-3.4823220826067263,-79.17046900701648,2364.2172338815362,31.779659742152305,717.5788008688825,0.07662445695892041,2017/08/15 13:48:18,703242.1254457345,9614896.876184642,0.04,3102.46,0.8,1502816955.264252,2059.2,1.9419126510620117,16.365133480526193
-3.482607360449919,-79.17043537646268,2366.652333051618,31.779659741559605,749.3584606104421,0.07662445696034947,2017/08/15 12:09:19,703245.801509568,9614865.319920054,61.86,3092.13,14.8,1502816957.2061644,2384.3,1.9419124126434326,16.365135489452623
-3.482892638279535,-79.17040174584417,2369.0874322216996,31.779659741909835,781.138120352352,0.07662445695950502,2017/08/15 12:09:21,703249.4775734046,9614833.763655465,61.86,3092.13,13.8,1502816959.1480768,2386.9,1.9419124126434326,16.365135489632976
