FECHA;HORA;LATITUD;LONGITUD;ALTITUD;VELOCIDAD;CONSUMO_TOTAL;CPNSUMO_INSTANTANEO;
15/8/17;10:21:47;-2.913.400;-79.037.003;2599.10;49.26;3083.16;1.55;
15/8/17;10:21:49;-2.913.614;-79.037.117;2599.10;47.87;3083.17;3.75;
15/8/17;10:21:51;-2.913.823;-79.037.231;2599.10;47.23;3083.17;3.75;
15/8/17;10:21:53;-2.914.034;-79.037.346;2599.10;48.15;3083.17;0.65;
15/8/17;10:21:55;-2.914.245;-79.037.460;2599.10;47.02;3083.17;3.20;
15/8/17;10:21:57;-2.914.510;-79.037.582;2599.10;39.15;3083.17;3.20;
15/8/17;10:22:00;-2.914.646;-79.037.682;2599.10;24.08;3083.17;1.95;
15/8/17;10:22:02;-2.914.735;-79.037.735;2599.10;14.43;3083.17;1.95;
15/8/17;10:22:04;-2.914.775;-79.037.758;2599.10;4.26;3083.17;0.05;
15/8/17;10:22:06;-2.914.788;-79.037.781;2599.10;0.31;3083.17;0.90;
15/8/17;10:22:08;-2.914.791;-79.037.781;2599.10;0.04;3083.17;0.90;
15/8/17;10:22:10;-2.914.792;-79.037.781;2599.10;0.06;3083.17;0.20;
15/8/17;10:22:12;-2.914.801;-79.037.788;2599.10;0.07;3083.17;0.20;
15/8/17;10:22:14;-2.914.810;-79.037.788;2599.10;0.02;3083.17;0.20;
15/8/17;10:22:16;-2.914.816;-79.037.804;2599.10;0.00;3083.17;0.80;
15/8/17;10:22:18;-2.914.820;-79.037.804;2599.10;0.02;3083.17;0.80;
15/8/17;10:22:20;-2.914.822;-79.037.804;2599.10;0.11;3083.17;0.80;
15/8/17;10:22:22;-2.914.824;-79.037.804;2599.10;0.04;3083.18;0.85;
15/8/17;10:22:24;-2.914.824;-79.037.804;2599.10;0.04;3083.18;0.90;
15/8/17;10:22:26;-2.914.825;-79.037.804;2599.10;0.00;3083.18;0.90;
15/8/17;10:22:28;-2.914.829;-79.037.804;2599.10;3.00;3083.18;1.05;
15/8/17;10:22:30;-2.914.837;-79.037.804;2591.30;3.00;3083.18;1.05;
15/8/17;10:22:32;-2.914.843;-79.037.811;2592.10;3.00;3083.18;1.85;
15/8/17;10:22:35;-2.914.870;-79.037.827;2592.10;6.15;3083.18;1.85;
15/8/17;10:22:37;-2.914.907;-79.037.857;2592.10;14.72;3083.18;1.40;
15/8/17;10:22:39;-2.914.972;-79.037.895;2592.10;17.17;3083.18;1.40;
15/8/17;10:22:41;-2.915.064;-79.037.941;2592.10;24.15;3083.18;1.40;
15/8/17;10:22:43;-2.915.190;-79.038.010;2592.10;33.19;3083.18;1.40;
15/8/17;10:22:45;-2.915.339;-79.038.086;2592.10;36.00;3083.18;10.05;
15/8/17;10:22:47;-2.915.515;-79.038.185;2592.10;42.63;3083.19;10.95;
15/8/17;10:22:50;-2.915.774;-79.038.315;2592.10;46.89;3083.20;15.00;
15/8/17;10:22:52;-2.915.981;-79.038.414;2592.10;47.52;3083.21;9.85;
15/8/17;10:22:54;-2.916.276;-79.038.544;2592.10;50.43;3083.21;7.65;
15/8/17;10:22:56;-2.916.420;-79.038.589;2592.10;51.47;3083.22;12.85;
15/8/17;10:22:58;-2.916.660;-79.038.719;2592.10;51.91;3083.22;4.60;
15/8/17;10:23:00;-2.916.914;-79.038.834;2592.10;52.76;3083.22;4.75;
15/8/17;10:23:02;-2.917.173;-79.038.925;2590.40;52.76;3083.23;5.95;
15/8/17;10:23:05;-2.917.620;-79.039.063;2590.40;55.39;3083.23;8.90;
15/8/17;10:23:06;-2.917.766;-79.039.146;2589.90;55.39;3083.23;3.10;
15/8/17;10:23:09;-2.918.113;-79.039.093;2589.90;55.08;3083.23;3.50;
15/8/17;10:23:13;-2.918.692;-79.039.177;2589.90;53.87;3083.24;3.95;
15/8/17;10:23:15;-2.918.909;-79.039.131;2589.90;54.75;3083.24;3.75;
15/8/17;10:23:17;-2.919.224;-79.039.146;2589.90;54.75;3083.24;4.45;
15/8/17;10:23:18;-2.919.448;-79.039.169;2593.00;54.75;3083.24;4.75;
15/8/17;10:23:21;-2.919.767;-79.039.078;2593.00;56.89;3083.25;6.85;
15/8/17;10:23:23;-2.920.134;-79.039.009;2593.00;58.00;3083.25;5.10;
15/8/17;10:23:26;-2.920.562;-79.038.994;2593.00;57.89;3083.25;5.75;
15/8/17;10:23:29;-2.920.875;-79.038.986;2593.00;58.47;3083.25;6.20;
15/8/17;10:23:31;-2.921.236;-79.038.979;2593.00;58.17;3083.26;2.55;
15/8/17;10:23:37;-2.922.057;-79.038.589;2593.00;62.45;3083.26;2.55;
15/8/17;10:23:44;-2.923.103;-79.039.253;2593.00;63.80;3083.26;1.45;
15/8/17;10:23:46;-2.923.416;-79.039.230;2593.00;62.56;3083.27;4.30;
15/8/17;10:23:48;-2.923.615;-79.039.459;2593.00;63.69;3083.27;5.50;
15/8/17;10:23:50;-2.923.872;-79.039.635;2593.00;60.36;3083.27;5.30;
15/8/17;10:24:01;-2.925.184;-79.040.802;2593.00;60.26;3083.27;4.00;
15/8/17;10:24:03;-2.925.355;-79.041.000;2593.00;60.04;3083.30;8.25;
15/8/17;10:24:07;-2.925.935;-79.041.351;2593.00;65.86;3083.30;7.55;
15/8/17;10:24:09;-2.926.163;-79.041.595;2593.00;61.91;3083.31;3.70;
15/8/17;10:24:13;-2.926.579;-79.041.962;2593.00;52.63;3083.31;3.70;
15/8/17;10:24:15;-2.926.757;-79.042.084;2593.00;39.04;3083.31;0.40;
15/8/17;10:24:17;-2.926.881;-79.042.175;2593.00;27.08;3083.31;0.90;
15/8/17;10:24:19;-2.926.965;-79.042.236;2593.00;14.76;3083.31;0.90;
15/8/17;10:24:21;-2.926.999;-79.042.267;2593.00;4.93;3083.31;0.10;
15/8/17;10:24:23;-2.927.006;-79.042.267;2593.00;0.72;3083.31;0.45;
15/8/17;10:24:25;-2.927.010;-79.042.267;2593.00;2.00;3083.31;0.45;
15/8/17;10:24:27;-2.927.014;-79.042.274;2593.00;0.56;3083.31;0.50;
15/8/17;10:24:29;-2.927.035;-79.042.282;2593.00;8.96;3083.31;0.40;
15/8/17;10:24:31;-2.927.094;-79.042.313;2593.00;14.35;3083.31;2.75;
15/8/17;10:24:33;-2.927.171;-79.042.351;2593.00;17.93;3083.31;2.75;
15/8/17;10:24:35;-2.927.245;-79.042.389;2593.00;15.72;3083.32;4.60;
15/8/17;10:24:37;-2.927.324;-79.042.427;2593.00;18.93;3083.32;2.50;
15/8/17;10:24:39;-2.927.416;-79.042.465;2598.40;18.93;3083.32;4.85;
15/8/17;10:24:41;-2.927.505;-79.042.503;2598.70;18.93;3083.32;4.20;
15/8/17;10:24:44;-2.927.624;-79.042.542;2598.70;16.32;3083.32;1.95;
15/8/17;10:24:46;-2.927.707;-79.042.564;2598.70;17.89;3083.32;1.95;
15/8/17;10:24:48;-2.927.798;-79.042.603;2598.70;18.46;3083.33;1.65;
15/8/17;10:24:50;-2.927.876;-79.042.625;2598.70;14.43;3083.33;3.30;
15/8/17;10:24:52;-2.927.951;-79.042.656;2598.70;16.11;3083.33;3.50;
15/8/17;10:24:54;-2.928.041;-79.042.679;2598.70;20.59;3083.33;1.20;
15/8/17;10:24:56;-2.928.158;-79.042.717;2598.70;26.67;3083.33;5.35;
15/8/17;10:24:58;-2.928.289;-79.042.755;2598.70;25.61;3083.33;4.65;
15/8/17;10:25:00;-2.928.406;-79.042.793;2598.70;24.52;3083.33;4.65;
15/8/17;10:25:02;-2.928.541;-79.042.831;2598.70;30.72;3083.33;7.60;
15/8/17;10:25:04;-2.928.687;-79.042.870;2598.70;30.13;3083.34;8.95;
15/8/17;10:25:06;-2.928.832;-79.042.923;2599.70;30.13;3083.34;9.10;
15/8/17;10:25:08;-2.928.985;-79.042.969;2599.70;30.13;3083.34;1.90;
15/8/17;10:25:11;-2.929.213;-79.043.030;2599.70;31.82;3083.34;3.35;
15/8/17;10:25:13;-2.929.379;-79.043.083;2599.70;36.04;3083.34;2.70;
15/8/17;10:25:15;-2.929.581;-79.043.167;2599.70;40.11;3083.35;8.70;
15/8/17;10:25:18;-2.929.874;-79.043.251;2599.70;41.73;3083.36;5.60;
15/8/17;10:25:20;-2.930.075;-79.043.312;2599.70;41.89;3083.36;5.60;
15/8/17;10:25:22;-2.930.253;-79.043.343;2598.80;41.63;3083.33;4.65;
15/8/17;10:25:25;-2.930.546;-79.043.434;2598.80;40.50;3083.33;0.00;
15/8/17;10:25:27;-2.930.751;-79.043.495;2598.80;41.89;3083.33;8.60;
15/8/17;10:25:29;-2.930.957;-79.043.549;2598.80;42.56;3083.33;8.35;
15/8/17;10:25:31;-2.931.160;-79.043.602;2598.80;41.58;3083.34;5.70;
15/8/17;10:25:33;-2.931.346;-79.043.663;2598.80;37.17;3083.34;5.70;
15/8/17;10:25:35;-2.931.499;-79.043.709;2598.80;28.74;3083.34;0.35;
15/8/17;10:25:37;-2.931.628;-79.043.747;2603.10;28.74;3083.34;0.95;
15/8/17;10:25:39;-2.931.759;-79.043.793;2603.80;28.74;3083.34;3.40;
15/8/17;10:25:42;-2.931.967;-79.043.854;2603.80;29.91;3083.34;6.60;
