date,height,old_height,utm_x,utm_y,distance,slope,sum_distance,velocidad,ds,velocidad_gps,consumo_total,consumo_inst,latitud,longitud,new_distance,new_slope,new_sum_distance,nueva_velocidad
12:21:26,3078.6925469835915,3077.5,702281.9486950316,9606692.241137184,48.387590930332735,0.0,13126.853356419044,24.193795465166367,2,86.86,3094.87,3.9,-3.556528246093448,-79.17896521431511,64.61670115015083,-0.048848664050453454,12963.955396215246,32.308350575075416
12:21:28,3075.536107457059,3077.5,702277.0595060422,9606627.819699256,48.01444457300323,0.0,13196.14420415258,24.007222286501616,2,86.53,3094.87,3.8,-3.557110855419179,-79.17900807055193,64.61670115199931,-0.04884866404905605,13028.572097367245,32.308350575999654
12:21:30,3072.379667930527,3077.5,702272.1703170527,9606563.39826133,47.935016629869516,0.0,13265.435051886116,23.967508314934758,2,85.88,3094.87,0.4,-3.5576934647636906,-79.17905092665656,64.616701150142,-0.04884866405046013,13093.188798517387,32.308350575071
12:21:32,3069.2232284039947,3077.5,702267.2811280632,9606498.976823403,47.29742965808158,0.0,13334.725899619652,23.64871482904079,2,85.14,3094.87,0.4,-3.5582760741269945,-79.17909378262898,64.61670115015083,-0.048848664050453454,13157.805499667538,32.308350575075416
12:21:34,3066.0667888774624,3077.5,702262.3919390738,9606434.555385474,46.672035523553696,0.0,13404.016747353187,23.336017761776848,2,84.17,3094.87,0.5,-3.558858683509107,-79.17913663846926,64.61670115199931,-0.04884866404905605,13222.422200819537,32.308350575999654
12:21:36,3062.9103493509297,3061.8,702257.5027500844,9606370.133947548,47.26925257757485,-0.3321397979423119,13473.307595086724,23.634626288787427,2,84.17,3094.87,0.05,-3.5594412929099914,-79.17917949417736,64.616701150142,-0.048848664050467165,13287.03890196968,32.308350575071
12:21:38,3059.7539098243974,3060.1,702252.6135610949,9606305.712509621,45.936280281555966,-0.037007785340487084,13542.59844282026,22.968140140777983,2,84.17,3094.87,0.05,-3.560023902329663,-79.17922234975332,64.61670115015083,-0.048848664050453454,13351.65560311983,32.308350575075416
12:21:41,3056.597470297865,3060.1,702247.7243721054,9606241.291071692,69.72900646740153,0.0,13611.889290553794,23.24300215580051,3,82.51,3094.87,0.1,-3.560606511768136,-79.17926520519714,64.61670115199931,-0.04884866404905605,13416.27230427183,21.53890038399977
12:21:43,3053.4410307713324,3060.1,702242.835183116,9606176.869633766,45.590093576417615,0.0,13681.180138287331,22.795046788208808,2,82.6,3094.87,0.15,-3.5611891212253752,-79.17930806050884,64.616701150142,-0.048848664050467165,13480.889005421972,32.308350575071
12:21:45,3050.2845912448,3060.1,702237.9459941265,9606112.44819584,45.76129743831635,0.0,13750.470986020866,22.880648719158174,2,81.67,3094.87,0.15,-3.5617717307013943,-79.17935091568845,64.61670115015083,-0.048848664050453454,13545.505706572123,32.308350575075416
12:22:07,3047.128151718268,3024.9,702233.0568051371,9606048.026757913,503.5212572167909,-0.06990767419545997,13819.761833754403,22.887329873490497,22,80.36,3094.87,0.15,-3.5623543401961912,-79.17939377073594,64.616701150142,-0.04884866405046013,13610.122407722265,2.9371227795519093
12:22:09,3043.9717121917356,3022.8,702228.1676161477,9605983.605319984,45.9146211925888,-0.045737064696482255,13889.052681487938,22.9573105962944,2,80.36,3094.87,0.25,-3.5629369497097803,-79.17943662565138,64.61670115199931,-0.04884866404905605,13674.739108874264,32.308350575999654
12:22:12,3040.8152726652033,3022.8,702223.2784271581,9605919.183882058,68.4269014601523,0.0,13958.343529221474,22.8089671533841,3,78.6,3094.87,0.25,-3.5635195592421263,-79.17947948043472,64.61670115015083,-0.048848664050453454,13739.355810024415,21.53890038338361
12:22:14,3037.658833138671,3022.8,702218.3892381687,9605854.762444131,42.70493057474661,0.0,14027.63437695501,21.352465287373306,2,76.99,3094.87,0.25,-3.564102168793243,-79.17952233508602,64.616701150142,-0.04884866405046013,13803.972511174557,32.308350575071
12:22:16,3034.5023936121383,3022.8,702213.5000491792,9605790.341006203,42.06719938926475,0.0,14096.925224688544,21.033599694632375,2,77.02,3094.87,0.2,-3.564684778363147,-79.17956518960527,64.61670115200813,-0.04884866404905642,13868.589212326566,32.30835057600407
12:22:18,3031.345954085606,3022.8,702208.6108601898,9605725.919568276,43.01506852351723,0.0,14166.216072422081,21.507534261758614,2,77.52,3094.87,0.2,-3.5652673879517995,-79.1796080439925,64.616701150142,-0.04884866405046013,13933.205913476708,32.308350575071
12:22:20,3028.189514559074,3022.8,702203.7216712004,9605661.49813035,43.12377887589975,0.0,14235.506920155616,21.561889437949876,2,77.95,3094.87,0.0,-3.5658499975592166,-79.17965089824771,64.616701150142,-0.04884866405046013,13997.82261462685,32.308350575071
